Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1998,11,1,0.0017,0,-999,-999,-999,-999,-999,-999,-999
1998,11,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,12,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,11,13,0.0715,0.545751,-999,-999,-999,-999,-999,-999,-999
1998,11,14,0.0103,0,-999,-999,-999,-999,-999,-999,-999
1998,11,15,0.0043,0,-999,-999,-999,-999,-999,-999,-999
1998,11,16,0.0008,0,-999,-999,-999,-999,-999,-999,-999
1998,11,17,0.0003,0,-999,-999,-999,-999,-999,-999,-999
1998,11,18,0.0003,0,-999,-999,-999,-999,-999,-999,-999
1998,11,19,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,11,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,11,30,0.0013,0,-999,-999,-999,-999,-999,-999,-999
1998,12,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,4,0.0005,0,-999,-999,-999,-999,-999,-999,-999
1998,12,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,10,0.1101,1.211301,-999,-999,-999,-999,-999,-999,-999
1998,12,11,0.0222,0,-999,-999,-999,-999,-999,-999,-999
1998,12,12,0.0094,0,-999,-999,-999,-999,-999,-999,-999
1998,12,13,0.0009,0,-999,-999,-999,-999,-999,-999,-999
1998,12,14,0.0002,0,-999,-999,-999,-999,-999,-999,-999
1998,12,15,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,16,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,17,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,18,0.0186,0,-999,-999,-999,-999,-999,-999,-999
1998,12,19,0.0029,0,-999,-999,-999,-999,-999,-999,-999
1998,12,20,0.0007,0,-999,-999,-999,-999,-999,-999,-999
1998,12,21,0.0006,0,-999,-999,-999,-999,-999,-999,-999
1998,12,22,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,23,0.0002,0,-999,-999,-999,-999,-999,-999,-999
1998,12,24,0.0003,0,-999,-999,-999,-999,-999,-999,-999
1998,12,25,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,26,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,27,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,12,30,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,12,31,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,1,0.0008,0,-999,-999,-999,-999,-999,-999,-999
1999,1,2,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,1,3,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,4,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,5,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,6,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,7,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,8,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,9,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,10,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,11,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,12,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,13,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,14,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,15,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,16,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,17,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,18,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,19,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,20,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,21,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,1,22,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,1,23,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,24,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,25,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,26,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,27,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,28,0,0,-999,-999,-999,-999,-999,-999,-999
1999,1,29,0.0494,0,-999,-999,-999,-999,-999,-999,-999
1999,1,30,0.0012,0,-999,-999,-999,-999,-999,-999,-999
1999,1,31,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,1,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,2,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,3,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,4,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,5,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,6,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,7,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,8,0.0001,0,-999,-999,-999,-999,-999,-999,-999
